
=== LOADING SOUNDS ===
? ?m thanh: nhacnen.mp3
==== JavaSound Minim Error ====
==== Don't know the ID3 code TSSE

? ?m thanh: amthanhspawn.mp3
? ?m thanh: amthanhcull.mp3
==== JavaSound Minim Error ====
==== Don't know the ID3 code TSSE

? ?m thanh: amthanhbutton.mp3
=== SOUND LOADING DONE ===

? Kh?i ??ng nh?c n?n...
? Nh?c n?n ?ang ph?t (volume: 0.50)
Setup Done
Simulated Sec 1 | Algae: 992 | Sardine: 100 | Crab: 20 | Shark: 6 | Total: 1119
Simulated Sec 2 | Algae: 985 | Sardine: 99 | Crab: 20 | Shark: 6 | Total: 1113
Simulated Sec 3 | Algae: 967 | Sardine: 101 | Crab: 20 | Shark: 6 | Total: 1097
Simulated Sec 4 | Algae: 957 | Sardine: 102 | Crab: 20 | Shark: 6 | Total: 1088
Simulated Sec 5 | Algae: 948 | Sardine: 103 | Crab: 20 | Shark: 6 | Total: 1080
Simulated Sec 6 | Algae: 936 | Sardine: 104 | Crab: 20 | Shark: 6 | Total: 1069
Simulated Sec 7 | Algae: 917 | Sardine: 106 | Crab: 20 | Shark: 6 | Total: 1053
Simulated Sec 8 | Algae: 900 | Sardine: 112 | Crab: 20 | Shark: 6 | Total: 1042
Simulated Sec 9 | Algae: 882 | Sardine: 111 | Crab: 20 | Shark: 6 | Total: 1024
Simulated Sec 10 | Algae: 859 | Sardine: 114 | Crab: 20 | Shark: 6 | Total: 1004
Simulated Sec 11 | Algae: 840 | Sardine: 114 | Crab: 20 | Shark: 6 | Total: 986
Simulated Sec 12 | Algae: 828 | Sardine: 72 | Crab: 21 | Shark: 6 | Total: 977
Simulated Sec 13 | Algae: 815 | Sardine: 67 | Crab: 21 | Shark: 6 | Total: 967
Simulated Sec 14 | Algae: 806 | Sardine: 66 | Crab: 21 | Shark: 6 | Total: 961
Simulated Sec 15 | Algae: 798 | Sardine: 66 | Crab: 22 | Shark: 6 | Total: 955
Simulated Sec 16 | Algae: 790 | Sardine: 68 | Crab: 22 | Shark: 6 | Total: 949
Simulated Sec 17 | Algae: 779 | Sardine: 68 | Crab: 22 | Shark: 6 | Total: 940
Simulated Sec 18 | Algae: 772 | Sardine: 68 | Crab: 22 | Shark: 6 | Total: 934
Simulated Sec 19 | Algae: 764 | Sardine: 70 | Crab: 22 | Shark: 6 | Total: 928
Simulated Sec 20 | Algae: 751 | Sardine: 74 | Crab: 22 | Shark: 6 | Total: 919
Simulated Sec 21 | Algae: 743 | Sardine: 77 | Crab: 22 | Shark: 6 | Total: 914
