
=== LOADING SOUNDS ===
? ?m thanh: nhacnen.mp3
==== JavaSound Minim Error ====
==== Don't know the ID3 code TSSE

? ?m thanh: amthanhspawn.mp3
? ?m thanh: amthanhcull.mp3
==== JavaSound Minim Error ====
==== Don't know the ID3 code TSSE

? ?m thanh: amthanhbutton.mp3
=== SOUND LOADING DONE ===

? Kh?i ??ng nh?c n?n...
? Nh?c n?n ?ang ph?t (volume: 0.50)
Setup Done
Simulated Sec 1 | Algae: 2377 | Sardine: 159 | Crab: 20 | Shark: 8 | Total: 2565
Simulated Sec 2 | Algae: 2373 | Sardine: 159 | Crab: 20 | Shark: 8 | Total: 2561
Simulated Sec 3 | Algae: 2355 | Sardine: 158 | Crab: 20 | Shark: 8 | Total: 2543
Simulated Sec 4 | Algae: 2341 | Sardine: 156 | Crab: 20 | Shark: 8 | Total: 2529
Simulated Sec 5 | Algae: 2319 | Sardine: 154 | Crab: 20 | Shark: 8 | Total: 2507
Simulated Sec 6 | Algae: 2303 | Sardine: 150 | Crab: 20 | Shark: 8 | Total: 2491
Simulated Sec 7 | Algae: 2282 | Sardine: 109 | Crab: 21 | Shark: 8 | Total: 2470
Simulated Sec 8 | Algae: 2257 | Sardine: 92 | Crab: 21 | Shark: 8 | Total: 2448
Simulated Sec 9 | Algae: 2232 | Sardine: 82 | Crab: 26 | Shark: 8 | Total: 2426
Simulated Sec 10 | Algae: 2215 | Sardine: 76 | Crab: 28 | Shark: 8 | Total: 2409
Simulated Sec 11 | Algae: 2191 | Sardine: 75 | Crab: 30 | Shark: 9 | Total: 2387
Simulated Sec 12 | Algae: 2178 | Sardine: 72 | Crab: 31 | Shark: 9 | Total: 2375
Simulated Sec 13 | Algae: 2160 | Sardine: 69 | Crab: 31 | Shark: 9 | Total: 2357
Simulated Sec 14 | Algae: 2147 | Sardine: 71 | Crab: 31 | Shark: 9 | Total: 2347
Simulated Sec 15 | Algae: 2129 | Sardine: 73 | Crab: 31 | Shark: 9 | Total: 2333
Simulated Sec 16 | Algae: 2117 | Sardine: 65 | Crab: 31 | Shark: 9 | Total: 2324
Simulated Sec 17 | Algae: 2095 | Sardine: 62 | Crab: 37 | Shark: 10 | Total: 2306
Simulated Sec 18 | Algae: 2077 | Sardine: 64 | Crab: 37 | Shark: 10 | Total: 2290
Simulated Sec 19 | Algae: 2068 | Sardine: 65 | Crab: 37 | Shark: 10 | Total: 2283
Simulated Sec 20 | Algae: 2047 | Sardine: 67 | Crab: 42 | Shark: 10 | Total: 2270
Simulated Sec 21 | Algae: 2034 | Sardine: 64 | Crab: 42 | Shark: 10 | Total: 2259
Simulated Sec 22 | Algae: 2011 | Sardine: 67 | Crab: 42 | Shark: 10 | Total: 2241
Simulated Sec 23 | Algae: 1994 | Sardine: 71 | Crab: 43 | Shark: 10 | Total: 2229
Simulated Sec 24 | Algae: 1973 | Sardine: 71 | Crab: 43 | Shark: 10 | Total: 2212
Simulated Sec 25 | Algae: 1948 | Sardine: 72 | Crab: 45 | Shark: 10 | Total: 2191
Simulated Sec 26 | Algae: 1936 | Sardine: 74 | Crab: 46 | Shark: 10 | Total: 2182
Simulated Sec 27 | Algae: 1910 | Sardine: 80 | Crab: 47 | Shark: 10 | Total: 2164
Simulated Sec 28 | Algae: 1894 | Sardine: 81 | Crab: 47 | Shark: 10 | Total: 2150
Simulated Sec 29 | Algae: 1869 | Sardine: 87 | Crab: 47 | Shark: 10 | Total: 2133
Simulated Sec 30 | Algae: 1847 | Sardine: 93 | Crab: 48 | Shark: 10 | Total: 2118
Simulated Sec 31 | Algae: 1828 | Sardine: 97 | Crab: 48 | Shark: 10 | Total: 2105
Simulated Sec 32 | Algae: 1800 | Sardine: 103 | Crab: 48 | Shark: 10 | Total: 2083
Simulated Sec 33 | Algae: 1889 | Sardine: 108 | Crab: 49 | Shark: 10 | Total: 2178
Simulated Sec 34 | Algae: 1994 | Sardine: 113 | Crab: 49 | Shark: 10 | Total: 2290
Simulated Sec 35 | Algae: 2069 | Sardine: 116 | Crab: 50 | Shark: 10 | Total: 2372
Simulated Sec 36 | Algae: 2138 | Sardine: 120 | Crab: 51 | Shark: 10 | Total: 2447
Simulated Sec 37 | Algae: 2192 | Sardine: 118 | Crab: 51 | Shark: 10 | Total: 2504
Simulated Sec 38 | Algae: 2237 | Sardine: 117 | Crab: 52 | Shark: 10 | Total: 2553
Simulated Sec 39 | Algae: 2300 | Sardine: 113 | Crab: 52 | Shark: 10 | Total: 2619
Simulated Sec 40 | Algae: 2339 | Sardine: 114 | Crab: 52 | Shark: 10 | Total: 2664
Simulated Sec 41 | Algae: 2379 | Sardine: 115 | Crab: 53 | Shark: 10 | Total: 2711
Simulated Sec 42 | Algae: 2408 | Sardine: 110 | Crab: 47 | Shark: 10 | Total: 2743
Simulated Sec 43 | Algae: 2439 | Sardine: 119 | Crab: 47 | Shark: 10 | Total: 2785
Simulated Sec 44 | Algae: 2475 | Sardine: 114 | Crab: 47 | Shark: 9 | Total: 2822
Simulated Sec 45 | Algae: 2489 | Sardine: 113 | Crab: 48 | Shark: 9 | Total: 2840
Simulated Sec 46 | Algae: 2511 | Sardine: 117 | Crab: 52 | Shark: 9 | Total: 2871
Simulated Sec 47 | Algae: 2527 | Sardine: 120 | Crab: 52 | Shark: 9 | Total: 2891
Simulated Sec 48 | Algae: 2532 | Sardine: 123 | Crab: 52 | Shark: 9 | Total: 2902
Simulated Sec 49 | Algae: 2543 | Sardine: 126 | Crab: 52 | Shark: 8 | Total: 2920
Simulated Sec 50 | Algae: 2562 | Sardine: 127 | Crab: 52 | Shark: 6 | Total: 2941
